ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,LATITUDE,LONGITUDE
1000000001,München,85399,Zeppelinstraße,2,DE,EMEA,2,48.1938734,11.56239139
1000000002,Antioch1 Illinois,60002,Tiffany Road,54,US,AMER,1,42.4677883,-88.0986241
1000000003,San Francisco,94101,Summerset Street,6,US,AMER,1,37.7235468,-122.4063031
1000000004,San Francisco,94101,Risel Avenue,35,US,AMER,1,37.7064938,-122.4488648
1000000005,San Francisco,94101,Winding Way,8,US,AMER,1,37.7094371,-122.4352474
1000000006,New York,10011,11th Avenue,17,US,AMER,1,40.7439059,-74.008611
1000000007,San Francisco,94101,Summerset Street,6,US,AMER,1,37.7235468,-122.463031
1000000008,New York,10011,57th Avenue,19,US,AMER,1,40.7602538,-73.9675441
1000000010,Antioch Illinois,60002,Fillmore Street,59,US,AMER,1,42.472418,-73.9075441
1000000011,London,EC1Y8SY,Castle Lane,25,GB,EMEA,1,51.508515,-0.1254872
1000000012,London,EC1Y8SY,Wilton Road,24,GB,EMEA,1,51.4931204,-0.1411505
1000000013,London,EC1Y8SY,Flood Street,18,GB,EMEA,1,51.4862153,-0.1653848
1000000014,Berlin,10001,Drosselweg,28,DE,EMEA,1,52.4602307,13.2859039
